n.id,name_node_a,id_node_b,name_node_b,id_relationship
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,6bde45527df4be8bbb24be561e65f751-a87ff679a2f3e71d9181a67b7542122c,Data Scientist,690198fd20e3b80d3804195466f922df-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,ac894b03f495d68a60f2d786e79aa1e3-a87ff679a2f3e71d9181a67b7542122c,Data Architect,5dac44a5f63127ccde45724b1502a0b0-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,7d49add0d0c4fa941e927e85ad5226f2-a87ff679a2f3e71d9181a67b7542122c,Developer,85ccf554027fe5cb1cf8e15c5788cdf2-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,4bc67c9e6001ce92edd195848030cb53-a87ff679a2f3e71d9181a67b7542122c,Comunity Manager,30e71787f0f2ebe3d3b171d0f03ca3a5-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,720d1c3fee7aef666abe0c50a9a7cde1-a87ff679a2f3e71d9181a67b7542122c,QA,66055244d8e215fc43c4b980e5efe301-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,a8cea7ec2709db07e628b80e2dafa2b6-a87ff679a2f3e71d9181a67b7542122c,Data Engineer,9cd2455c6d9d9bb6c2167235d058333e-c81e728d9d4c2f636f067f89cc14862c
755afe7c87f7c9f21013de1db4bc017a-a87ff679a2f3e71d9181a67b7542122c,Victoria Molina,b87b3eec78245941919b7b214acb5258-a87ff679a2f3e71d9181a67b7542122c,#TALENTOSAS KUNAN,5adf9969eb9e1b6bb1afd298e8694d8f-a87ff679a2f3e71d9181a67b7542122c
85886d204c8db6c1b82f322d154188f8-a87ff679a2f3e71d9181a67b7542122c,Silvana Infante,b87b3eec78245941919b7b214acb5258-a87ff679a2f3e71d9181a67b7542122c,#TALENTOSAS KUNAN,93607255c1c69f59e2437e3e39937795-a87ff679a2f3e71d9181a67b7542122c
c75df195acce9063a96459de85bc72b9-a87ff679a2f3e71d9181a67b7542122c,Monta un Cluster Hadoop Big Data desde Cero,7e978e6cfaa3e6de95722312e007357f-a87ff679a2f3e71d9181a67b7542122c,Hadoop,55faa3f0afb670b119bcc593f868c2ed-a87ff679a2f3e71d9181a67b7542122c
c75df195acce9063a96459de85bc72b9-a87ff679a2f3e71d9181a67b7542122c,Monta un Cluster Hadoop Big Data desde Cero,f441e44866d2cf1fa1edd368e0723cc8-a87ff679a2f3e71d9181a67b7542122c,cursos,40f3a960f943b2db3059f9062e0ca08a-a87ff679a2f3e71d9181a67b7542122c
