n.id,name_node_a,id_node_b,name_node_b,id_relationship
eeca1815ef2efc089f12bfe8c1c4c7f7-c81e728d9d4c2f636f067f89cc14862c,Team3,f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,78031203cb9f8df3b96024f973e93dce-c81e728d9d4c2f636f067f89cc14862c
eeca1815ef2efc089f12bfe8c1c4c7f7-c81e728d9d4c2f636f067f89cc14862c,Team3,1ae7f988daa7541df8d9eba692e3949d-c81e728d9d4c2f636f067f89cc14862c,Marcela,920da6fdbb28002170bd11ac31f931fa-c81e728d9d4c2f636f067f89cc14862c
eeca1815ef2efc089f12bfe8c1c4c7f7-c81e728d9d4c2f636f067f89cc14862c,Team3,a5b6fc8ad5a79c2b57af4137389a7b6b-c81e728d9d4c2f636f067f89cc14862c,Marcelo,d5f338d4f13a96698fda12514a76e4ad-c81e728d9d4c2f636f067f89cc14862c
73cceb4a6d1f1fd7e91d38c2b906be15-c81e728d9d4c2f636f067f89cc14862c,Team2,e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,bad0c7e4278c68df0eeadaaa9499f260-c81e728d9d4c2f636f067f89cc14862c
73cceb4a6d1f1fd7e91d38c2b906be15-c81e728d9d4c2f636f067f89cc14862c,Team2,10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,ff8fe587c76f4587b2fe3c6a4bd98d86-c81e728d9d4c2f636f067f89cc14862c
73cceb4a6d1f1fd7e91d38c2b906be15-c81e728d9d4c2f636f067f89cc14862c,Team2,822736b3fe21296f7d5c35a5e13d3ca3-c81e728d9d4c2f636f067f89cc14862c,Luciana,da8783698ff8004d5d1a5a91939064c2-c81e728d9d4c2f636f067f89cc14862c
73cceb4a6d1f1fd7e91d38c2b906be15-c81e728d9d4c2f636f067f89cc14862c,Team2,bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,a7aaf9d986e5c2da5566842b84cfc3de-c81e728d9d4c2f636f067f89cc14862c
73cceb4a6d1f1fd7e91d38c2b906be15-c81e728d9d4c2f636f067f89cc14862c,Team2,f9fdac801645d8b673ce785f01658a1e-c81e728d9d4c2f636f067f89cc14862c,Miguel,49d73ee56be132b8d72845bd69b16e1d-c81e728d9d4c2f636f067f89cc14862c
1ae7f988daa7541df8d9eba692e3949d-c81e728d9d4c2f636f067f89cc14862c,Marcela,7d49add0d0c4fa941e927e85ad5226f2-a87ff679a2f3e71d9181a67b7542122c,Developer,97af5b9ea14515d4b93949b519586b9e-c81e728d9d4c2f636f067f89cc14862c
1ae7f988daa7541df8d9eba692e3949d-c81e728d9d4c2f636f067f89cc14862c,Marcela,342c8909ccc271dbb9d83e960fd04b00-a87ff679a2f3e71d9181a67b7542122c,windows,f5cb76e07e183a1c3fc6b354c2929395-c81e728d9d4c2f636f067f89cc14862c
1ae7f988daa7541df8d9eba692e3949d-c81e728d9d4c2f636f067f89cc14862c,Marcela,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,6bfd7bf7a1d50d5a4c945ed0022279f1-c81e728d9d4c2f636f067f89cc14862c
1ae7f988daa7541df8d9eba692e3949d-c81e728d9d4c2f636f067f89cc14862c,Marcela,e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,dc8f11843caef21e9c043e19873bb41b-c81e728d9d4c2f636f067f89cc14862c
1ae7f988daa7541df8d9eba692e3949d-c81e728d9d4c2f636f067f89cc14862c,Marcela,bbbe1fbd5a476cc46c35ea4b051c1a36-a87ff679a2f3e71d9181a67b7542122c,phyton,37689a914469ac3cbda1928c40a46992-c81e728d9d4c2f636f067f89cc14862c
1ae7f988daa7541df8d9eba692e3949d-c81e728d9d4c2f636f067f89cc14862c,Marcela,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,b26bed07c37985affd5144308f6b3c00-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,4bc67c9e6001ce92edd195848030cb53-a87ff679a2f3e71d9181a67b7542122c,Technical Leader,2aeeba3e87e7023843999135a6f88b63-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,13858423f507c2e000f9928b1c241ee2-a87ff679a2f3e71d9181a67b7542122c,Oracle Cloud,e5598217bbff2703ef102b4ad0af8f3a-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,a58efbe1a239da9280f6c0fe19958655-a87ff679a2f3e71d9181a67b7542122c,Google cloud,6716059a5172fa74777118762a391d45-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,e5b3d2f141604da4cb288ff2913ee49e-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,7658e020131c329d176f7ad2d46b0c42-a87ff679a2f3e71d9181a67b7542122c,Oracle,00b9d3b61f7e5128142535c32fdd7665-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,d994966bd98e1a55fbcf48d5c08815d7-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,f61ef2e9dee2b13b9d5bc95d26cd2ce4-a87ff679a2f3e71d9181a67b7542122c,PostgreSQL,f4ee20a08cdb8f3286f4b842628b170c-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,c064dffb1a0f1a937b56ee9c0c0a0b9c-a87ff679a2f3e71d9181a67b7542122c,unix,0681e3e65f5051fe895cff6ce40c291e-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,de1284aa9ed99ad37c8259c2028b161c-a87ff679a2f3e71d9181a67b7542122c,ODI,3b6309cf01fa7588efcca3469f41f3e8-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,5acbe3aee600d4592d46ea0889b4f5c8-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,f6776d9a7bd892cf529b2bda3ca42d8b-a87ff679a2f3e71d9181a67b7542122c,Docker,78c94d33477eabbd7c4e5e40e764d038-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,7e978e6cfaa3e6de95722312e007357f-a87ff679a2f3e71d9181a67b7542122c,Hadoop,e2bf1ff5ede36b5b4de4f152fa781364-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,0d19f40ecc4c80ff14c2c225998be837-a87ff679a2f3e71d9181a67b7542122c,Spark,0d6a73dce5cc6cf7559b48bcb0d9befc-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,d37772bf703931e76d906eaafe580293-a87ff679a2f3e71d9181a67b7542122c,S3,8face6ae8a9e6f3a52e91a39dc5ffd0a-c81e728d9d4c2f636f067f89cc14862c
f496c7004f07dba853bf8fadc28c9650-c81e728d9d4c2f636f067f89cc14862c,Daniel,886f0d10fd11a0fb8f50aa3b4eb4b2ba-a87ff679a2f3e71d9181a67b7542122c,EC2,bf9bfd67694eac991b4aef5cf58cdfe6-c81e728d9d4c2f636f067f89cc14862c
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,166348693bdfdd787ed9de79fb714bb1-c81e728d9d4c2f636f067f89cc14862c
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,5a0b69eb8a2a6ebe2b45a24bd65e8293-c81e728d9d4c2f636f067f89cc14862c
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,c93063c6040fc818752bd79fe469dbe2-c81e728d9d4c2f636f067f89cc14862c
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,202a4729f08cfad5658fb7a6fb4ab47a-a87ff679a2f3e71d9181a67b7542122c,java,3fcd5c449250a68fadb0ff7d4ec6c818-c81e728d9d4c2f636f067f89cc14862c
e726642e86168eacfeee3fa8c4da012e-c81e728d9d4c2f636f067f89cc14862c,Leonardo,7d49add0d0c4fa941e927e85ad5226f2-a87ff679a2f3e71d9181a67b7542122c,Developer,5939ec5f853a2d393ccb910609fb916f-c81e728d9d4c2f636f067f89cc14862c
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,d95e23fa7cbb5d414d50bc2983c137a6-c81e728d9d4c2f636f067f89cc14862c
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,4edc2af7e8b4aedeb6e4737c4ace1cad-c81e728d9d4c2f636f067f89cc14862c
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,202a4729f08cfad5658fb7a6fb4ab47a-a87ff679a2f3e71d9181a67b7542122c,java,80e4385d72005d9923cecb78f9fb6d20-c81e728d9d4c2f636f067f89cc14862c
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,755b961ff79a42bb00bebb67984ceea9-c81e728d9d4c2f636f067f89cc14862c
10c246e19e023f335e179b937c28a6da-c81e728d9d4c2f636f067f89cc14862c,Matias,7d49add0d0c4fa941e927e85ad5226f2-a87ff679a2f3e71d9181a67b7542122c,Developer,38f44376f57ad0c2054d8858208445fb-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,4631193902bfaa235973c349bce7a3a7-a87ff679a2f3e71d9181a67b7542122c,Kubernetes,4617a67947c8b03de5d3ffcdac7a2d2f-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,bbbe1fbd5a476cc46c35ea4b051c1a36-a87ff679a2f3e71d9181a67b7542122c,phyton,ce4cfbb8090c9bb6b2630d88f0b1af56-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,202a4729f08cfad5658fb7a6fb4ab47a-a87ff679a2f3e71d9181a67b7542122c,java,9a5775bee61bee479a97c5eda2341d29-c81e728d9d4c2f636f067f89cc14862c
bcb93d9680b08656367b3682a9b4c127-c81e728d9d4c2f636f067f89cc14862c,Lionel,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,4829005fb663b4ddba3a474e935fd70a-c81e728d9d4c2f636f067f89cc14862c
